City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Bulgan,MN,2022-03-24 23:31:00,48.8125,103.5347,18.12,47,44,14.45
93,Cape Town,ZA,2022-03-24 23:30:01,-33.9258,18.4232,64.27,73,75,21.85
94,Naze,JP,2022-03-24 23:32:00,28.3667,129.4833,63.52,72,56,20.87
95,Henties Bay,NA,2022-03-24 23:32:01,-22.116,14.2845,63.75,88,4,4.05
96,Avarua,CK,2022-03-24 23:32:02,-21.2078,-159.775,82.45,83,75,4.61
97,Westport,US,2022-03-24 23:32:02,41.1415,-73.3579,46.02,94,100,8.99
98,Tatarbunary,UA,2022-03-24 23:32:03,45.8373,29.6142,43.18,51,49,12.28
99,Socorro,US,2022-03-24 23:32:03,31.6546,-106.3033,77.02,9,0,4.61
100,Puerto Ayora,EC,2022-03-24 23:32:04,-0.7393,-90.3518,79.77,79,67,8.63
101,Hermanus,ZA,2022-03-24 23:32:04,-34.4187,19.2345,59.81,79,100,14.79
102,Port Lincoln,AU,2022-03-24 23:32:05,-34.7333,135.8667,65.1,58,4,9.89
103,Hithadhoo,MV,2022-03-24 23:29:25,-0.6,73.0833,83.53,67,28,20.11
104,Yerbogachen,RU,2022-03-24 23:32:05,61.2767,108.0108,5.41,100,95,3.69
105,Nome,US,2022-03-24 23:32:06,64.5011,-165.4064,20.16,63,100,14.97
106,Niteroi,BR,2022-03-24 23:31:34,-22.8833,-43.1036,79.66,81,4,6.71
107,Kahului,US,2022-03-24 23:32:07,20.8947,-156.47,84.22,51,20,25.32
108,Antofagasta,CL,2022-03-24 23:28:01,-23.65,-70.4,63.68,81,6,6.67
109,Tambopata,PE,2022-03-24 23:32:08,-12.7333,-69.1833,78.69,89,0,2.3
110,Rocky Mountain House,CA,2022-03-24 23:30:37,52.3668,-114.9188,39.31,35,68,8.05
111,Isangel,VU,2022-03-24 23:32:08,-19.55,169.2667,82.35,71,38,13.6
112,Contamana,PE,2022-03-24 23:32:09,-7.3333,-75.0167,80.8,72,73,4.79
113,Nowy Tomysl,PL,2022-03-24 23:32:09,52.3195,16.1284,33.98,58,0,4.47
114,Penal,TT,2022-03-24 23:32:10,10.1667,-61.4667,79.9,87,16,1.99
115,Podor,MR,2022-03-24 23:32:10,16.6527,-14.9587,80.55,41,0,2.3
116,Qaanaaq,GL,2022-03-24 23:30:21,77.484,-69.3632,-13.2,58,25,8.21
117,Katsuura,JP,2022-03-24 23:32:11,35.1333,140.3,55.92,53,11,6.2
118,Crotone,IT,2022-03-24 23:32:12,39.0851,17.1178,53.19,49,0,4.18
119,Dudinka,RU,2022-03-24 23:32:12,69.4058,86.1778,9.63,93,97,14.85
120,Rio Gallegos,AR,2022-03-24 23:29:49,-51.6226,-69.2181,55.45,47,40,5.75
121,Kiama,AU,2022-03-24 23:32:02,-34.6833,150.8667,66.99,96,97,5.57
122,Japura,ID,2022-03-24 23:32:13,-0.3167,102.35,76.1,94,53,1.34
123,Lagoa,PT,2022-03-24 23:32:14,39.05,-27.9833,59.77,85,100,34.23
124,Tiksi,RU,2022-03-24 23:32:14,71.6872,128.8694,-7.22,96,84,1.43
125,Mar Del Plata,AR,2022-03-24 23:30:47,-38.0023,-57.5575,65.08,77,0,0.0
126,Akyab,MM,2022-03-24 23:32:15,20.15,92.9,74.07,89,26,4.54
127,Muravlenko,RU,2022-03-24 23:32:16,63.7898,74.523,11.43,92,98,10.02
128,Kondopoga,RU,2022-03-24 23:32:16,62.2057,34.2614,24.48,97,19,1.9
129,Saskylakh,RU,2022-03-24 23:32:17,71.9167,114.0833,-21.71,100,98,3.71
130,Jabinyanah,TN,2022-03-24 23:32:17,35.035,10.9081,57.0,67,77,13.67
131,Zhigansk,RU,2022-03-24 23:30:58,66.7697,123.3711,1.18,97,71,3.11
132,Souillac,MU,2022-03-24 23:31:17,-20.5167,57.5167,79.18,83,40,6.91
133,Terrace,CA,2022-03-24 23:30:37,54.5163,-128.6035,49.91,46,75,3.44
134,Lenger,KZ,2022-03-24 23:32:19,42.183,69.8839,28.2,82,77,7.07
135,Provideniya,RU,2022-03-24 23:32:20,64.3833,-173.3,14.36,67,0,7.0
136,Cockburn Town,TC,2022-03-24 23:33:11,21.4612,-71.1419,78.03,81,0,23.69
137,Alanya,TR,2022-03-24 23:33:20,36.5438,31.9998,39.33,49,12,7.45
138,Okha,RU,2022-03-24 23:33:21,53.5739,142.9478,22.12,80,9,1.74
139,Sorland,NO,2022-03-24 23:33:22,67.667,12.6934,34.79,61,99,10.0
140,Klaksvik,FO,2022-03-24 23:33:22,62.2266,-6.589,47.32,91,70,8.39
141,Umm Lajj,SA,2022-03-24 23:33:23,25.0213,37.2685,60.15,42,0,8.28
142,Sabla,NG,2022-03-24 23:33:23,12.7525,4.7077,83.23,15,5,10.69
143,Tiznit,MA,2022-03-24 23:33:24,29.5833,-9.5,51.85,89,72,7.47
144,Clyde River,CA,2022-03-24 23:33:24,70.4692,-68.5914,-5.57,84,100,23.02
145,Xining,CN,2022-03-24 23:28:44,36.6167,101.7667,32.54,61,99,2.13
146,Katobu,ID,2022-03-24 23:31:37,-4.9408,122.5276,79.68,86,71,0.72
147,Butaritari,KI,2022-03-24 23:33:25,3.0707,172.7902,80.58,71,98,13.31
148,Atasu,KZ,2022-03-24 23:33:26,48.6814,71.6433,18.14,98,98,3.69
149,Angoche,MZ,2022-03-24 23:33:26,-16.2325,39.9086,77.18,84,32,3.06
150,Raduzhnyy,RU,2022-03-24 23:33:27,62.0961,77.475,6.78,99,97,6.46
151,Changping,CN,2022-03-24 23:33:27,40.2186,116.2197,42.44,45,100,7.02
152,Esperance,AU,2022-03-24 23:33:28,-33.8667,121.9,58.84,65,0,14.14
153,Jiaozuo,CN,2022-03-24 23:33:28,35.2397,113.2331,54.5,77,100,3.4
154,Castro,BR,2022-03-24 23:33:29,-24.7911,-50.0119,64.38,97,40,4.83
155,Grand Forks,US,2022-03-24 23:33:30,47.9417,-97.4337,44.78,81,100,10.36
156,Zeya,RU,2022-03-24 23:33:30,53.75,127.2667,27.59,77,97,1.74
157,Kardonikskaya,RU,2022-03-24 23:33:31,43.8617,41.7194,29.44,97,100,1.34
158,Rongcheng,CN,2022-03-24 23:33:31,30.634,117.8517,59.32,97,100,2.51
159,Kropotkin,RU,2022-03-24 23:33:32,45.4375,40.5756,36.66,90,100,5.12
160,Lavrentiya,RU,2022-03-24 23:31:49,65.5833,-171.0,5.79,88,30,5.66
161,Doha,QA,2022-03-24 23:33:17,25.2867,51.5333,80.58,46,0,2.3
162,New Norfolk,AU,2022-03-24 23:29:32,-42.7826,147.0587,63.91,52,68,4.0
163,Port Elizabeth,ZA,2022-03-24 23:30:25,-33.918,25.5701,64.69,97,100,10.36
164,Ouesso,CG,2022-03-24 23:33:33,1.6136,16.0517,72.46,75,42,2.3
165,Micheweni,TZ,2022-03-24 23:33:33,-4.9667,39.8333,81.09,82,16,8.86
166,Ambulu,ID,2022-03-24 23:33:34,-8.345,113.6058,78.01,88,99,1.97
167,Hasaki,JP,2022-03-24 23:30:59,35.7333,140.8333,52.2,43,25,3.91
168,Bilma,NE,2022-03-24 23:30:09,18.6853,12.9164,70.66,16,0,10.02
