City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
319,Chilakalurupet,IN,77.14,clear sky,16.0833,80.1667,Sri vishnu priya lodge
320,Rio Grande,BR,77.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
321,Palauig,PH,79.99,scattered clouds,15.435,119.9045,Alperi Botique Resort
327,Charcas,MX,80.67,clear sky,23.1333,-101.1167,Hotel El Malacate
331,Okitipupa,NG,80.19,scattered clouds,6.5047,4.7839,Coastal Hotel & Suites
336,Pilar,BR,80.53,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
339,Kharan,PK,75.6,clear sky,28.5833,65.4167,Dil Aram Bangla
340,Pochutla,MX,87.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
341,Neiafu,TO,83.08,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
343,San Ramon De La Nueva Oran,AR,88.43,clear sky,-23.1322,-64.326,Hotel Residencial Centro
345,Souillac,MU,75.58,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
346,Sao Jose Da Coroa Grande,BR,78.71,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
348,Sheopur,IN,80.4,clear sky,25.6667,76.7,Shri Ram Dharmshala
349,Puerto Quijarro,BO,85.82,overcast clouds,-17.7833,-57.7667,Hotel palance
355,Morwa,IN,79.88,clear sky,22.9,73.8333,mahakali maa hotel
358,Tenango,MX,89.47,clear sky,18.65,-98.1833,
360,Lufilufi,WS,87.58,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
361,Jega,NG,81.77,clear sky,12.2175,4.3792,ALH. Nasiru Ibrahim
366,Bonham,US,82.67,clear sky,33.5773,-96.1783,Economy Inn
367,Vanimo,PG,77.31,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
369,Yarada,IN,79.59,broken clouds,17.65,83.2667,Yarada Jungle Beach Resorts
371,Ilhabela,BR,75.25,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
372,Barra,BR,82.2,scattered clouds,-11.0894,-43.1417,Motel Albatroz
373,Katherine,AU,75.52,broken clouds,-14.4667,132.2667,Pine Tree Motel
376,Chazuta,PE,83.25,overcast clouds,-6.5742,-76.1367,Cáliz Hostel Chazuta
383,La Union,PE,82.65,overcast clouds,-5.4,-80.75,Los Portales
384,Iquitos,PE,87.84,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
385,Kattivakkam,IN,83.07,clear sky,13.2167,80.3167,Euronova Freezer
390,Catuday,PH,78.48,clear sky,16.2923,119.8062,Benjie's Kubo & Cottages
392,Kailua,US,80.58,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
397,Bowen,AU,75.85,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
398,Upata,VE,79.5,overcast clouds,8.0086,-62.3989,Posada Villa Nela
399,Oxkutzcab,MX,89.22,few clouds,20.3,-89.4167,Hotel Puuc
402,Sinnamary,GF,77.25,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
403,Port Blair,IN,79.93,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
404,Mogadishu,SO,80.13,broken clouds,2.0371,45.3438,Hotel Juba
405,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
406,San Patricio,US,85.17,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
409,Ascension,US,84.07,clear sky,30.2169,-90.9001,Highland Inn
413,Sur,OM,80.65,clear sky,22.5667,59.5289,Sur Plaza Hotel
423,Sapouy,BF,86.74,clear sky,11.5544,-1.7736,Auberge St Louis
430,Muncar,ID,75.34,overcast clouds,-8.4333,114.3333,Zaky Homestay
436,Cockburn Town,TC,76.51,clear sky,21.4612,-71.1419,Osprey Beach Hotel
438,Akyab,MM,76.33,broken clouds,20.15,92.9,Hotel Memory
440,Saquena,PE,77.7,broken clouds,-4.6667,-73.5167,
442,Gigmoto,PH,79.38,broken clouds,13.7796,124.39,Cj's Travellers Inn
452,Eyl,SO,77.95,clear sky,7.9803,49.8164,Amiin Hotel
455,Saquarema,BR,78.94,light rain,-22.92,-42.5103,Hotel Fazenda Sol e Lua
456,Tete,MZ,75.29,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
469,Tabou,CI,80.31,broken clouds,4.423,-7.3528,hotêl doufoulougou
474,Brownsville,US,82.35,scattered clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
477,Trairi,BR,75.79,light rain,-3.2778,-39.2689,janelas do mar
478,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
480,Conceicao Do Araguaia,BR,76.03,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
483,Kouango,CF,79.27,overcast clouds,4.9934,19.9619,
489,Mongo,TD,77.68,clear sky,12.1844,18.693,Résidences du Programme FIDA
490,Banjarmasin,ID,75.34,light rain,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
491,Arinos,BR,80.4,few clouds,-15.9169,-46.1056,casa do bruno
494,Dindigul,IN,78.71,clear sky,10.35,77.95,Senthil Residency
502,Vadakku Valliyur,IN,78.04,few clouds,8.3833,77.65,Mister Tasty Hotel
506,Soyo,AO,79.63,moderate rain,-6.1349,12.3689,Hotel Mpampa
507,Jaru,BR,79.34,moderate rain,-10.4389,-62.4664,Hotel Paraná
509,Aripuana,BR,76.26,overcast clouds,-9.1667,-60.6333,
515,Merauke,ID,76.24,moderate rain,-8.4667,140.3333,
520,Boulsa,BF,86.43,clear sky,12.6675,-0.5758,Auberge Relwende
