City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Namibe,AO,-15.1961,12.1522,71.22,72,11,7.87,few clouds
252,Hamilton,US,39.1834,-84.5333,44.94,39,0,10.36,clear sky
253,Livingston,GB,55.9029,-3.5226,47.3,93,100,4.61,fog
254,Dingle,PH,10.9995,122.6711,77.09,89,100,8.12,overcast clouds
255,Ashcroft,CA,50.7165,-121.2859,48.92,68,95,4.76,overcast clouds
256,Antofagasta,CL,-23.65,-70.4,70.21,65,42,8.99,scattered clouds
257,San Quintin,MX,30.4833,-115.95,64.65,72,94,12.77,overcast clouds
258,Pocoes,BR,-14.5297,-40.3653,69.53,73,99,6.35,overcast clouds
259,Novikovo,RU,51.1537,37.8879,40.44,66,79,24.47,broken clouds
260,Tuatapere,NZ,-46.1333,167.6833,60.91,77,98,2.75,overcast clouds
261,Blagoyevo,RU,63.3667,47.9167,-10.68,100,77,3.02,broken clouds
262,Beian,NO,63.6559,9.5683,36.01,80,75,5.75,light snow
263,Najran,SA,17.4924,44.1277,61.45,31,0,3.58,clear sky
264,Parkes,AU,-33.1333,148.1833,66.34,81,100,6.62,overcast clouds
265,Novozybkov,RU,52.5396,31.9275,50.59,67,90,16.96,overcast clouds
266,Ouegoa,NC,-20.35,164.4333,81.3,78,99,12.97,overcast clouds
267,Bat Khela,PK,34.6167,71.9714,66.43,29,0,8.32,clear sky
268,Kawalu,ID,-7.3817,108.2082,71.92,96,100,2.55,overcast clouds
269,Mahibadhoo,MV,3.7833,72.9667,81.25,72,1,4.0,clear sky
270,Vestmannaeyjar,IS,63.4427,-20.2734,38.39,77,100,30.69,overcast clouds
271,Shadegan,IR,30.6497,48.6647,57.15,26,12,15.41,few clouds
272,Bolshaya Dzhalga,RU,45.9695,42.6966,33.87,68,1,16.58,clear sky
273,Isangel,VU,-19.55,169.2667,82.51,78,66,2.3,broken clouds
274,Cabedelo,BR,-6.9811,-34.8339,81.27,81,69,11.41,broken clouds
275,Kalianget,ID,-7.05,113.9333,78.04,85,100,10.13,overcast clouds
276,Calatayud,ES,41.3535,-1.6432,52.38,70,100,2.93,overcast clouds
277,Clyde River,CA,70.4692,-68.5914,1.63,85,40,20.71,scattered clouds
278,Kavaratti,IN,10.5669,72.642,83.7,76,15,13.09,few clouds
279,Kerman,IR,30.2832,57.0788,49.86,12,0,4.61,clear sky
280,Lasa,IT,46.6166,10.7002,47.28,71,11,1.63,few clouds
281,Maharajganj,IN,27.1333,83.5667,70.68,22,0,4.03,clear sky
282,Faya,SA,18.3851,42.4509,57.72,38,2,4.03,clear sky
283,Dubai,AE,25.2582,55.3047,71.53,64,0,6.91,clear sky
284,Yairipok,IN,24.6667,94.0667,60.66,82,67,1.95,broken clouds
285,Khor,RU,47.8861,134.9464,31.51,81,100,7.99,overcast clouds
286,Sao Felix Do Xingu,BR,-6.6447,-51.995,74.28,97,100,1.16,overcast clouds
287,Zhuhai,CN,22.2769,113.5678,64.18,82,40,9.22,scattered clouds
288,Khatanga,RU,71.9667,102.5,-3.15,98,100,11.16,light snow
289,Safaga,EG,26.7292,33.9365,70.3,30,0,13.94,clear sky
290,Houma,US,29.5958,-90.7195,81.0,60,40,11.5,scattered clouds
291,Plettenberg Bay,ZA,-34.0527,23.3716,65.66,85,59,1.23,broken clouds
292,Lima,PE,-12.0432,-77.0282,70.05,68,0,12.66,light rain
293,Inirida,CO,3.8653,-67.9239,72.99,99,100,2.95,moderate rain
294,Liepaja,LV,56.5419,21.0367,40.98,65,0,5.75,clear sky
295,Sabang,ID,5.8933,95.3214,82.26,75,8,4.83,clear sky
296,Methoni,GR,36.8197,21.7049,57.22,63,44,20.24,scattered clouds
297,Oum Hadjer,TD,13.2954,19.6966,77.68,8,6,14.23,clear sky
298,Hualmay,PE,-11.0964,-77.6139,71.8,81,100,10.54,overcast clouds
299,Dukat,RU,62.55,155.55,2.39,94,100,9.17,overcast clouds
300,Marechal Candido Rondon,BR,-24.5561,-54.0567,73.92,76,0,3.71,clear sky
301,Nhulunbuy,AU,-12.2333,136.7667,75.81,94,62,0.0,broken clouds
302,Kahului,US,20.8947,-156.47,84.22,56,20,10.36,few clouds
303,Calvinia,ZA,-31.4707,19.776,67.89,36,64,3.83,broken clouds
304,Sola,VU,-13.8833,167.55,82.45,75,100,7.18,overcast clouds
305,Zigos,GR,41.0167,24.3833,53.98,80,99,0.54,overcast clouds
306,Yulara,AU,-25.2406,130.9889,69.64,24,19,6.91,few clouds
307,Dombarovskiy,RU,50.7587,59.5386,16.61,95,100,8.86,overcast clouds
308,Lompoc,US,34.6391,-120.4579,61.02,83,100,13.0,overcast clouds
309,Kyren,RU,51.6828,102.1408,9.23,92,96,1.54,overcast clouds
310,Reitz,ZA,-27.8014,28.4273,55.76,55,0,3.69,clear sky
